question,answer
ReginaとMelinaはどのような母娘関係ですか？,Reginaは40歳のバレリーナで、18歳の娘Melinaと同じColumbia City Balletに在籍しています。ReginaはMelinaがバレエをここまで続けるとは思っていなかったと語っています。
ReginaとMelinaがColumbia City Balletで同時に在籍しているのはなぜ特別なのですか？,今シーズンはReginaの最後のシーズンであり、同時にMelinaのトレーニーとしての最初のシーズンでもあります。Reginaは3月に引退予定で、この1シーズンだけ二人が同じ舞台に立てる特別な機会となっています。
くるみ割り人形でReginaとMelinaはどのような役で共演していますか？,Reginaはスノークイーンを、MelinaはSnow corpsとして同時にステージに立ちます。また、二人ともアラビアン・ディヴェルティスマンにも出演しており、Reginaは「一緒に踊るのは非常に非現実的な感じ」と述べています。
Peter Martinsが休職を申請した理由は何ですか？,Peter Martinsに向けられた性的ハラスメントの疑惑に関する社内調査が行われる間、NYCBとスクール・オブ・アメリカン・バレエの両方から一時的な休職を申請しました。
暫定リーダーシップチームのメンバーは誰ですか？,バレエマスターで元プリンシパルダンサーのJonathan Staffordを筆頭に、常駐振付家のJustin Peck、バレエマスターのCraig HallとRebecca Krohnの4名で構成されています。
Jonathan StaffordはNYCBの暫定チームでどのような役割を担っていますか？,Jonathan Staffordはバレエマスターおよび元プリンシパルダンサーとして、4名からなる暫定チームのリーダーを務めています。
暫定チームはどのような業務を担当しますか？,暫定チームはスケジュール管理、キャスティング、リハーサルの実施など、会社の日々の芸術的なニーズに責任を持ちます。
ペンシルバニア・バレエとボストン・バレエがスーパーボウルに合わせて行った企画とは何ですか？,それぞれが応援するチーム（イーグルスとペイトリオッツ）を応援するため、スーパーボウルをテーマにした振り付けを披露する動画を制作・公開し、対決形式で盛り上げました。
ペンシルバニア・バレエのダンサーたちはどのようなパフォーマンスを行いましたか？,イーグルスグリーンの衣装を着て、フェッテターン、高いジャンプ、そして「鳥」にちなんだスワンアームを取り入れたテンポの速いルーティンを披露しました。
ボストン・バレエの動画に出演したダンサーと使用されたバランシン要素について教えてください。,プリンシパルのポール・クレイグとソリストのデレク・ダンが出演し、「放蕩息子（Prodigal Son）」の小道具を使ったバランシンの要素を取り入れた内容でした。
